Year,Percentage,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and older,Total 16 to 24,Total 25 and older,"Total,
16 years
and older"
2016,94.9,0,0,0,0,0,0,0,0,0,0
2016,92.6,0,0,0,0,0,0,0,0,0,0
2016,95.6,0,0,0,0,0,0,0,0,0,0
2016,80.9,0,0,0,0,0,0,0,0,0,0
2016,88.8,0,0,0,0,0,0,0,0,0,0
2016,83.3,0,0,0,0,0,0,0,0,0,0
2016,77.8,0,0,0,0,0,0,0,0,0,0
2016,73.7,0,0,0,0,0,0,0,0,0,0
2016,75.5,0,0,0,0,0,0,0,0,0,0
2017,81.8,0,0,0,0,0,0,0,0,0,0
2017,91.2,0,0,0,0,0,0,0,0,0,0
2017,87.6,0,0,0,0,0,0,0,0,0,0
2017,90.2,0,0,0,0,0,0,0,0,0,0
2017,81.3,0,0,0,0,0,0,0,0,0,0
2017,88.2,0,0,0,0,0,0,0,0,0,0
2017,81.0,0,0,0,0,0,0,0,0,0,0
2017,77.5,0,0,0,0,0,0,0,0,0,0
2017,78.0,0,0,0,0,0,0,0,0,0,0
2017,77.0,0,0,0,0,0,0,0,0,0,0
2018,81.1,0,0,0,0,0,0,0,0,0,0
2018,90.8,0,0,0,0,0,0,0,0,0,0
2018,89.4,0,0,0,0,0,0,0,0,0,0
2018,92.2,0,0,0,0,0,0,0,0,0,0
2018,80.9,0,0,0,0,0,0,0,0,0,0
2018,87.0,0,0,0,0,0,0,0,0,0,0
2018,79.6,0,0,0,0,0,0,0,0,0,0
2018,77.0,0,0,0,0,0,0,0,0,0,0
2018,75.0,0,0,0,0,0,0,0,0,0,0
2018,77.2,0,0,0,0,0,0,0,0,0,0
